Player,Played Time,Team,Estimated Value
Maxence Lacroix,2486.0,Crystal Palace,€25.8M
Micky van de Ven,905.0,Tottenham,€62M
Mikel Merino,1345.0,Arsenal,€39.7M
Mikkel Damsgaard,2409.0,Brentford,€28.6M
Milos Kerkez,2807.0,Bournemouth,€61.6M
Mohamed Salah,2831.0,Liverpool,€18.3M
Mohammed Kudus,2167.0,West Ham,€63M
Moisés Caicedo,2811.0,Chelsea,€82.8M
Morgan Gibbs-White,2288.0,Nott'ham Forest,€61.7M
Morgan Rogers,2597.0,Aston Villa,€79.6M
Murillo,2748.0,Nott'ham Forest,€66M
Myles Lewis-Skelly,959.0,Arsenal,€35.7M
Nathan Collins,2880.0,Brentford,€30.7M
Neco Williams,2054.0,Nott'ham Forest,€22.6M
Nick Pope,1890.0,Newcastle Utd,€11.5M
Nicolas Jackson,1948.0,Chelsea,€66.9M
Nicolás Domínguez,1567.0,Nott'ham Forest,€18.8M
Nikola Milenković,2790.0,Nott'ham Forest,€40.6M
Noni Madueke,1601.0,Chelsea,€52.3M
Noussair Mazraoui,2475.0,Manchester Utd,€45.3M
Nélson Semedo,2415.0,Wolves,€8.3M
Ola Aina,2569.0,Nott'ham Forest,€19.3M
Ollie Watkins,2167.0,Aston Villa,€63.2M
Omari Hutchinson,2223.0,Ipswich Town,€27.6M
Orel Mangala,1261.0,Everton,€24.4M
Pape Matar Sarr,1511.0,Tottenham,€50.8M
Pau Torres,1639.0,Aston Villa,€46.1M
Paul Onuachu,916.0,Southampton,€12.7M
Pedro Neto,1743.0,Chelsea,€60.4M
Pedro Porro,2373.0,Tottenham,€55.9M
Pervis Estupiñán,1952.0,Brighton,€35.4M
Phil Foden,1686.0,Manchester City,€99.8M
Radu Drăgușin,1252.0,Tottenham,€28.4M
Rasmus Højlund,1585.0,Manchester Utd,€60M
Rayan Aït-Nouri,2618.0,Wolves,€44M
Raúl Jiménez,1961.0,Fulham,€5.2M
Riccardo Calafiori,925.0,Arsenal,€49.3M
Rico Lewis,1810.0,Manchester City,€62.7M
Robert Sánchez,2340.0,Chelsea,€24.8M
Rodrigo Bentancur,1428.0,Tottenham,€31.4M
Rodrigo Muniz,964.0,Fulham,€8.4M
Ryan Christie,2117.0,Bournemouth,€16.2M
Ryan Gravenberch,2741.0,Liverpool,€85.5M
Ryan Manning,1195.0,Southampton,€3.8M
Ryan Yates,1742.0,Nott'ham Forest,€17.5M
Rúben Dias,1731.0,Manchester City,€74.5M
Sam Morsy,2240.0,Ipswich Town,€1.3M
Sammie Szmodics,979.0,Ipswich Town,€14.1M
Sander Berge,1882.0,Fulham,€27.9M
Sandro Tonali,2000.0,Newcastle Utd,€52.1M
Santiago Bueno,1581.0,Wolves,€11.3M
Saša Lukić,1963.0,Fulham,€12.1M
Sepp van den Berg,2046.0,Brentford,€26.4M
Son Heung-min,2004.0,Tottenham,€28.6M
Stefan Ortega,920.0,Manchester City,€5.8M
Stephy Mavididi,1531.0,Leicester City,€13.2M
Sávio,1657.0,Manchester City,€74.8M
Taylor Harwood-Bellis,2390.0,Southampton,€29.9M
Thomas Partey,2347.0,Arsenal,€14.7M
Timothy Castagne,1612.0,Fulham,€16.8M
Tomáš Souček,2150.0,West Ham,€25.6M
Tosin Adarabioyo,1227.0,Chelsea,€24.8M
Toti Gomes,2074.0,Wolves,€18.6M
Trent Alexander-Arnold,2145.0,Liverpool,€55.4M
Trevoh Chalobah,1060.0,Crystal Palace,€20.2M
Tyler Adams,1470.0,Bournemouth,€24.5M
Tyler Dibling,1667.0,Southampton,€32M
Tyrick Mitchell,2582.0,Crystal Palace,€25.1M
Tyrone Mings,961.0,Aston Villa,€5.7M
Valentino Livramento,2210.0,Newcastle Utd,€48.4M
Victor Bernth Kristiansen,2380.0,Leicester City,€23.9M
Virgil van Dijk,2880.0,Liverpool,€16.6M
Vitaliy Mykolenko,2542.0,Everton,€33.5M
Vitaly Janelt,2250.0,Brentford,€22.2M
Wes Burns,926.0,Ipswich Town,€2.1M
Wesley Fofana,1172.0,Chelsea,€30.4M
Wilfred Ndidi,1885.0,Leicester City,€20.4M
Will Hughes,1695.0,Crystal Palace,€7.3M
William Saliba,2634.0,Arsenal,€79.5M
Wout Faes,2275.0,Leicester City,€25.3M
Yankuba Minteh,1406.0,Brighton,€42.6M
Yasin Ayari,1633.0,Brighton,€21.5M
Yehor Yarmoliuk,964.0,Brentford,€18M
Yoane Wissa,2380.0,Brentford,€31.4M
Youri Tielemans,2735.0,Aston Villa,€43.3M
Yukinari Sugawara,1467.0,Southampton,€15.8M
Yves Bissouma,1210.0,Tottenham,€30M
Álex Moreno,955.0,Nott'ham Forest,€11.2M
İlkay Gündoğan,1787.0,Manchester City,€11M
Łukasz Fabiański,1070.0,West Ham,€0.9M
