Player,Standard_Nation,Standard_Pos,Standard_Squad,Standard_Age,Standard_MP,Standard_Starts,Standard_Min,Standard_Gls,Standard_Ast,Standard_CrdY,Standard_CrdR,Standard_xG,Standard_xAG,Standard_PrgC,Standard_PrgP,Standard_PrgR,Standard_Gls/90,Standard_Ast/90,Standard_xG/90,Standard_xAG/90,Goalkeeping_GA90,Goalkeeping_Save%,Goalkeeping_CS%,Goalkeeping_Penalty_Save%,Shooting_SoT%,Shooting_SoT/90,Shooting_G/Sh,Shooting_Dist,Passing_Cmp,Passing_Total_Cmp%,Passing_TotDist,Passing_Short_Cmp%,Passing_Medium_Cmp%,Passing_Long_Cmp%,Passing_KP
Aaron Cresswell,engENG,DF,West Ham,35-110,1989,14,7,589,6.5,0,0,0,0,0,0,2,0,0.1,0.1,1.1,1.3,4,24,2,0.00,0.00,0.00,0.00,0.00,0.02,0.17,0.19,0.02,0.19,Matches
Aaron Ramsdale,engENG,GK,Southampton,26-325,1998,22,22,"1,980",22.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Aaron Wan-Bissaka,engENG,DF,West Ham,27-129,1997,29,28,"2,524",28.0,2,2,4,2,0,0,1,0,1.0,1.0,2.5,3.5,90,112,123,0.07,0.07,0.14,0.07,0.14,0.04,0.09,0.12,0.04,0.12,Matches
Abdoulaye Doucouré,mlMLI,MF,Everton,32-093,1993,26,25,"2,065",22.9,2,1,3,2,0,0,4,1,3.2,3.2,2.0,5.2,34,66,77,0.09,0.04,0.13,0.09,0.13,0.14,0.09,0.23,0.14,0.23,Matches
Abdukodir Khusanov,uzUZB,DF,Manchester City,21-034,2004,6,6,503,5.6,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,25,2,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
Abdul Fatawu Issahaku,ghGHA,FW,Leicester City,21-027,2004,11,6,579,6.4,0,2,2,0,0,0,0,0,0.4,0.4,1.6,2.0,42,17,60,0.00,0.31,0.31,0.00,0.31,0.06,0.24,0.31,0.06,0.31,Matches
Adam Armstrong,engENG,"FW,MF",Southampton,28-053,1997,20,15,"1,248",13.9,2,2,4,2,0,1,4,0,3.3,2.3,1.2,3.5,25,21,79,0.14,0.14,0.29,0.14,0.29,0.24,0.09,0.32,0.17,0.25,Matches
Adam Lallana,engENG,MF,Southampton,36-329,1988,14,5,361,4.0,0,2,2,0,0,0,4,0,0.2,0.2,0.9,1.1,6,24,10,0.00,0.50,0.50,0.00,0.50,0.04,0.23,0.27,0.04,0.27,Matches
Adam Smith,engENG,DF,Bournemouth,33-340,1991,18,13,"1,080",12.0,0,0,0,0,0,0,4,0,0.6,0.6,0.2,0.7,10,32,17,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06,Matches
Adam Webster,engENG,DF,Brighton,30-090,1995,11,8,617,6.9,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,7,40,2,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.08,0.00,0.08,Matches
Adam Wharton,engENG,MF,Crystal Palace,20-306,2004,14,11,928,10.3,0,0,0,0,0,0,2,0,0.3,0.3,2.0,2.2,10,94,10,0.00,0.00,0.00,0.00,0.00,0.03,0.19,0.22,0.03,0.22,Matches
Adama Traoré,esESP,"FW,MF",Fulham,29-069,1996,28,16,"1,473",16.4,2,5,7,2,0,0,2,0,3.8,3.8,4.1,7.8,80,55,135,0.12,0.31,0.43,0.12,0.43,0.23,0.25,0.48,0.23,0.48,Matches
Albert Grønbaek,dkDEN,"FW,MF",Southampton,23-316,2001,4,2,143,1.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,1,3,0.00,0.00,0.00,0.00,0.00,0.07,0.01,0.08,0.07,0.08,Matches
Alejandro Garnacho,arARG,"MF,FW",Manchester Utd,20-277,2004,29,18,"1,732",19.2,4,1,5,4,0,0,2,0,6.0,6.0,2.8,8.8,108,45,234,0.21,0.05,0.26,0.21,0.26,0.31,0.14,0.46,0.31,0.46,Matches
Alex Iwobi,ngNGA,"FW,MF",Fulham,28-336,1996,30,28,"2,382",26.5,7,4,11,7,0,0,1,0,3.9,3.9,6.1,10.0,113,168,199,0.26,0.15,0.42,0.26,0.42,0.15,0.23,0.38,0.15,0.38,Matches
Alex McCarthy,engENG,GK,Southampton,35-122,1989,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Alex Palmer,engENG,GK,Ipswich Town,28-237,1996,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Alex Scott,engENG,MF,Bournemouth,21-226,2003,13,3,437,4.9,0,0,0,0,0,0,1,0,0.5,0.5,0.3,0.8,9,44,22,0.00,0.00,0.00,0.00,0.00,0.10,0.06,0.16,0.10,0.16,Matches
Alexander Isak,seSWE,FW,Newcastle Utd,25-195,1999,26,26,"2,117",23.5,20,5,25,18,2,2,1,0,16.1,14.5,3.8,18.3,67,65,169,0.85,0.21,1.06,0.77,0.98,0.69,0.16,0.85,0.62,0.78,Matches
Alexis Mac Allister,arARG,MF,Liverpool,26-101,1998,29,26,"2,201",24.5,3,3,6,3,0,0,6,0,2.3,2.3,4.1,6.4,30,152,62,0.12,0.12,0.25,0.12,0.25,0.10,0.17,0.26,0.10,0.26,Matches
Ali Al Hamadi,iqIRQ,FW,Ipswich Town,23-034,2002,11,0,134,1.5,0,0,0,0,0,0,3,0,0.4,0.4,0.1,0.4,4,3,14,0.00,0.00,0.00,0.00,0.00,0.24,0.05,0.28,0.24,0.28,Matches
Alisson,brBRA,GK,Liverpool,32-184,1992,21,21,"1,878",20.9,0,0,0,0,0,0,0,0,0.0,0.0,0.6,0.6,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
Alphonse Areola,frFRA,GK,West Ham,32-036,1993,19,18,"1,630",18.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Amad Diallo,ciCIV,"FW,MF",Manchester Utd,22-267,2002,22,17,"1,594",17.7,6,6,12,6,0,0,3,0,4.1,4.1,3.9,8.0,92,53,159,0.34,0.34,0.68,0.34,0.68,0.23,0.22,0.45,0.23,0.45,Matches
Amadou Onana,beBEL,MF,Aston Villa,23-231,2001,18,14,"1,105",12.3,2,0,2,2,0,0,4,0,1.8,1.8,0.2,2.0,13,37,10,0.16,0.00,0.16,0.16,0.16,0.15,0.01,0.16,0.15,0.16,Matches
Andreas Pereira,brBRA,MF,Fulham,29-093,1996,27,19,"1,601",17.8,2,4,6,2,0,1,7,0,3.3,2.5,3.7,6.2,21,94,68,0.11,0.22,0.34,0.11,0.34,0.19,0.21,0.40,0.14,0.35,Matches
Andrew Robertson,sctSCO,DF,Liverpool,31-024,1994,28,25,"2,106",23.4,0,0,0,0,0,0,3,1,0.9,0.9,4.1,5.1,54,158,87,0.00,0.00,0.00,0.00,0.00,0.04,0.18,0.22,0.04,0.22,Matches
André,brBRA,MF,Wolves,23-262,2001,25,23,"1,817",20.2,0,0,0,0,0,0,5,0,0.3,0.3,0.6,0.9,7,76,10,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches
André Onana,cmCMR,GK,Manchester Utd,29-002,1996,30,30,"2,700",30.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
Andrés García,esESP,"DF,MF",Aston Villa,22-056,2003,5,4,267,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,22,12,19,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches
Andy Irving,sctSCO,MF,West Ham,24-326,2000,10,1,166,1.8,0,0,0,0,0,0,2,0,0.1,0.1,0.2,0.4,0,9,4,0.00,0.00,0.00,0.00,0.00,0.06,0.13,0.19,0.06,0.19,Matches
Anthony Elanga,seSWE,"FW,MF",Nott'ham Forest,22-342,2002,30,24,"1,930",21.4,6,8,14,6,0,0,1,0,3.8,3.8,4.3,8.1,78,45,156,0.28,0.37,0.65,0.28,0.65,0.18,0.20,0.38,0.18,0.38,Matches
Anthony Gordon,engENG,FW,Newcastle Utd,24-039,2001,26,25,"2,108",23.4,6,5,11,5,1,2,2,0,7.8,6.3,4.9,11.2,104,88,187,0.26,0.21,0.47,0.21,0.43,0.34,0.21,0.54,0.27,0.48,Matches
Antoine Semenyo,ghGHA,FW,Bournemouth,25-087,2000,29,29,"2,555",28.4,7,4,11,7,0,0,9,0,8.7,8.7,5.2,13.9,117,89,233,0.25,0.14,0.39,0.25,0.39,0.31,0.18,0.49,0.31,0.49,Matches
Antonee Robinson,usUSA,DF,Fulham,27-239,1997,30,29,"2,629",29.2,0,10,10,0,0,0,7,0,0.7,0.7,4.0,4.7,102,105,237,0.00,0.34,0.34,0.00,0.34,0.02,0.14,0.16,0.02,0.16,Matches
Antony,brBRA,"DF,MF",Manchester Utd,25-039,2000,8,0,141,1.6,0,0,0,0,0,0,0,0,1.0,1.0,0.1,1.1,5,6,7,0.00,0.00,0.00,0.00,0.00,0.65,0.08,0.73,0.65,0.73,Matches
Antonín Kinský,czCZE,GK,Tottenham,22-022,2003,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
Archie Gray,engENG,"DF,MF",Tottenham,19-023,2006,21,13,"1,245",13.8,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,4,27,7,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
Arijanet Muric,xkKVX,GK,Ipswich Town,26-148,1998,18,18,"1,620",18.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Armando Broja,alALB,FW,Everton,23-206,2001,7,2,183,2.0,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,10,2,17,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.11,0.06,0.11,Matches
Armel Bella Kotchap,deGER,DF,Southampton,23-114,2001,4,2,331,3.7,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,0,5,0,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09,Matches
Ashley Young,engENG,"DF,FW",Everton,39-269,1985,26,17,"1,570",17.4,1,3,4,1,0,0,6,1,0.3,0.3,1.6,1.8,19,81,25,0.06,0.17,0.23,0.06,0.23,0.02,0.09,0.11,0.02,0.11,Matches
Axel Disasi,frFRA,DF,Aston Villa,27-024,1998,5,4,370,4.1,0,0,0,0,0,0,2,0,0.1,0.1,0.4,0.4,8,12,5,0.00,0.00,0.00,0.00,0.00,0.02,0.09,0.11,0.02,0.11,Matches
Axel Disasi,frFRA,DF,Chelsea,27-024,1998,6,4,364,4.0,1,0,1,1,0,0,1,0,0.3,0.3,0.1,0.4,6,16,2,0.25,0.00,0.25,0.25,0.25,0.07,0.02,0.09,0.07,0.09,Matches
Axel Tuanzebe,cdCOD,DF,Ipswich Town,27-141,1997,15,14,"1,185",13.2,0,1,1,0,0,0,5,1,0.2,0.2,0.3,0.5,7,42,7,0.00,0.08,0.08,0.00,0.08,0.02,0.02,0.04,0.02,0.04,Matches
Ayden Heaven,engENG,DF,Manchester Utd,18-194,2006,2,1,95,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Bart Verbruggen,nlNED,GK,Brighton,22-229,2002,28,28,"2,520",28.0,0,1,1,0,0,0,5,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.04,0.04,0.00,0.04,0.00,0.00,0.00,0.00,0.00,Matches
Ben Brereton,clCHI,FW,Southampton,25-351,1999,10,4,449,5.0,0,0,0,0,0,0,1,0,0.9,0.9,0.1,1.0,12,9,42,0.00,0.00,0.00,0.00,0.00,0.18,0.02,0.20,0.18,0.20,Matches
Ben Davies,wlsWAL,DF,Tottenham,31-345,1993,9,8,721,8.0,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.2,6,34,4,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
Ben Godfrey,engENG,DF,Ipswich Town,27-079,1998,2,2,108,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,4,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Ben Johnson,engENG,"DF,FW",Ipswich Town,25-070,2000,18,10,"1,042",11.6,0,1,1,0,0,0,3,0,0.9,0.9,0.6,1.5,13,20,23,0.00,0.09,0.09,0.00,0.09,0.08,0.06,0.13,0.08,0.13,Matches
Ben Mee,engENG,DF,Brentford,35-195,1989,7,2,183,2.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,3,11,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Ben White,engENG,DF,Arsenal,27-178,1997,11,7,706,7.8,0,1,1,0,0,0,2,0,0.2,0.2,0.4,0.6,5,32,18,0.00,0.13,0.13,0.00,0.13,0.02,0.06,0.08,0.02,0.08,Matches
Benoît Badiashile,frFRA,DF,Chelsea,24-009,2001,5,3,334,3.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,17,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Bernardo Silva,ptPOR,"MF,FW",Manchester City,30-237,1994,26,22,"2,041",22.7,2,4,6,2,0,0,5,0,3.0,3.0,4.2,7.2,82,97,169,0.09,0.18,0.26,0.09,0.26,0.13,0.18,0.32,0.13,0.32,Matches
Bernd Leno,deGER,GK,Fulham,33-031,1992,30,30,"2,700",30.0,0,1,1,0,0,0,3,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.03,0.03,0.00,0.03,0.00,0.00,0.00,0.00,0.00,Matches
Beto,gwGNB,FW,Everton,27-063,1998,22,9,"1,010",11.2,6,0,6,6,0,0,2,0,6.1,6.1,0.7,6.7,12,8,52,0.53,0.00,0.53,0.53,0.53,0.54,0.06,0.60,0.54,0.60,Matches
Bilal El Khannouss,maMAR,MF,Leicester City,20-329,2004,25,20,"1,585",17.6,2,1,3,2,0,0,3,0,0.7,0.7,2.3,2.9,51,99,67,0.11,0.06,0.17,0.11,0.17,0.04,0.13,0.17,0.04,0.17,Matches
Billy Gilmour,sctSCO,MF,Brighton,23-297,2001,2,1,98,1.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,11,2,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches
Bobby Reid,jmJAM,"FW,MF",Leicester City,32-061,1993,20,7,639,7.1,1,2,3,1,0,0,2,0,0.8,0.8,1.2,2.0,12,14,40,0.14,0.28,0.42,0.14,0.42,0.11,0.17,0.27,0.11,0.27,Matches
Boubacar Kamara,frFRA,MF,Aston Villa,25-132,1999,18,14,"1,171",13.0,0,0,0,0,0,0,2,0,0.3,0.3,0.4,0.6,15,64,3,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05,Matches
Boubakary Soumaré,frFRA,MF,Leicester City,26-036,1999,23,19,"1,638",18.2,0,0,0,0,0,0,8,0,0.2,0.2,0.4,0.6,29,79,20,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches
Brajan Gruda,deGER,"FW,MF",Brighton,20-308,2004,14,6,470,5.2,0,1,1,0,0,0,0,0,0.3,0.3,0.6,0.9,15,15,44,0.00,0.19,0.19,0.00,0.19,0.06,0.12,0.18,0.06,0.18,Matches
Brennan Johnson,wlsWAL,FW,Tottenham,23-316,2001,27,20,"1,789",19.9,9,2,11,9,0,0,5,0,9.2,9.2,2.0,11.2,53,59,171,0.45,0.10,0.55,0.45,0.55,0.46,0.10,0.56,0.46,0.56,Matches
Bruno Fernandes,ptPOR,MF,Manchester Utd,30-208,1994,29,29,"2,465",27.4,8,9,17,5,3,3,4,2,8.7,6.3,6.4,12.7,59,242,110,0.29,0.33,0.62,0.18,0.51,0.32,0.23,0.55,0.23,0.46,Matches
Bruno Guimarães,brBRA,MF,Newcastle Utd,27-139,1997,29,29,"2,513",27.9,3,6,9,3,0,0,4,0,2.8,2.8,5.2,8.0,43,206,68,0.11,0.21,0.32,0.11,0.32,0.10,0.19,0.29,0.10,0.29,Matches
Bryan Mbeumo,cmCMR,FW,Brentford,25-240,1999,30,30,"2,694",29.9,16,5,21,11,5,5,2,0,9.8,5.9,6.7,12.6,101,113,281,0.53,0.17,0.70,0.37,0.53,0.33,0.22,0.55,0.20,0.42,Matches
Bukayo Saka,engENG,"FW,MF",Arsenal,23-211,2001,17,16,"1,293",14.4,6,10,16,5,1,1,3,0,5.0,4.2,5.8,10.0,72,54,198,0.42,0.70,1.11,0.35,1.04,0.35,0.40,0.75,0.29,0.70,Matches
Caleb Okoli,itITA,DF,Leicester City,23-265,2001,17,11,"1,034",11.5,0,0,0,0,0,0,3,0,0.1,0.1,0.0,0.1,3,30,2,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
Callum Hudson-Odoi,engENG,"FW,MF",Nott'ham Forest,24-148,2000,25,22,"1,894",21.0,5,2,7,5,0,0,2,0,2.2,2.2,2.4,4.5,107,59,170,0.24,0.10,0.33,0.24,0.33,0.10,0.11,0.21,0.10,0.21,Matches
Callum Wilson,engENG,FW,Newcastle Utd,33-036,1992,9,1,188,2.1,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,4,3,5,0.00,0.00,0.00,0.00,0.00,0.16,0.03,0.19,0.16,0.19,Matches
Calvin Bassey,ngNGA,DF,Fulham,25-094,1999,28,27,"2,444",27.2,1,0,1,1,0,0,5,0,1.0,1.0,0.1,1.1,22,89,11,0.04,0.00,0.04,0.04,0.04,0.04,0.00,0.04,0.04,0.04,Matches
Cameron Archer,engENG,FW,Southampton,23-257,2001,27,11,"1,182",13.1,2,0,2,2,0,1,0,0,4.9,4.1,0.3,4.4,16,12,55,0.15,0.00,0.15,0.15,0.15,0.37,0.03,0.40,0.31,0.34,Matches
Cameron Burgess,auAUS,DF,Ipswich Town,29-165,1995,12,11,"1,035",11.5,0,1,1,0,0,0,0,0,0.7,0.7,0.4,1.1,2,33,3,0.00,0.09,0.09,0.00,0.09,0.06,0.03,0.10,0.06,0.10,Matches
Caoimhín Kelleher,ieIRL,GK,Liverpool,26-132,1998,9,9,810,9.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Carlos Alcaraz,arARG,"MF,FW",Everton,22-125,2002,7,4,394,4.4,1,1,2,1,0,0,2,0,1.2,1.2,1.1,2.3,10,20,8,0.23,0.23,0.46,0.23,0.46,0.28,0.26,0.53,0.28,0.53,Matches
Carlos Baleba,cmCMR,MF,Brighton,21-091,2004,26,23,"1,967",21.9,2,1,3,2,0,0,8,1,2.9,2.9,1.1,4.0,33,97,26,0.09,0.05,0.14,0.09,0.14,0.13,0.05,0.18,0.13,0.18,Matches
Carlos Forbs,ptPOR,"MF,FW",Wolves,21-016,2004,9,1,237,2.6,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.2,9,8,28,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.07,0.05,0.07,Matches
Carlos Soler,esESP,"MF,FW",West Ham,28-092,1997,25,12,"1,143",12.7,1,1,2,1,0,0,5,0,1.2,1.2,1.1,2.3,12,47,23,0.08,0.08,0.16,0.08,0.16,0.10,0.09,0.18,0.10,0.18,Matches
Casemiro,brBRA,MF,Manchester Utd,33-040,1992,20,14,"1,181",13.1,1,0,1,1,0,0,3,0,1.4,1.4,2.2,3.6,4,64,25,0.08,0.00,0.08,0.08,0.08,0.11,0.17,0.28,0.11,0.28,Matches
Charlie Taylor,engENG,DF,Southampton,31-198,1993,7,2,266,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,3,8,6,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
Cheick Doucouré,mlMLI,MF,Crystal Palace,25-086,2000,13,4,452,5.0,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4,2,19,7,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08,Matches
Chiedozie Ogbene,ieIRL,FW,Ipswich Town,27-338,1997,5,3,238,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,7,0,15,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
Chris Richards,usUSA,DF,Crystal Palace,25-007,2000,17,15,"1,338",14.9,0,0,0,0,0,0,2,0,0.5,0.5,0.1,0.6,5,33,1,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches
Chris Wood,nzNZL,FW,Nott'ham Forest,33-118,1991,29,28,"2,344",26.0,18,3,21,15,3,3,1,0,11.0,8.7,1.9,10.6,13,33,72,0.69,0.12,0.81,0.58,0.69,0.42,0.07,0.50,0.33,0.41,Matches
Christian Eriksen,dkDEN,MF,Manchester Utd,33-049,1992,17,9,813,9.0,0,1,1,0,0,0,3,0,0.2,0.2,2.4,2.5,8,40,23,0.00,0.11,0.11,0.00,0.11,0.02,0.26,0.28,0.02,0.28,Matches
Christian Nørgaard,dkDEN,MF,Brentford,31-025,1994,26,26,"2,100",23.3,4,2,6,4,0,0,4,1,3.2,3.2,0.8,4.0,11,116,34,0.17,0.09,0.26,0.17,0.26,0.14,0.03,0.17,0.14,0.17,Matches
Christian Walton,engENG,GK,Ipswich Town,29-146,1995,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Christopher Nkunku,frFRA,FW,Chelsea,27-141,1997,25,8,872,9.7,3,2,5,3,0,0,2,0,4.7,4.6,2.0,6.6,16,25,64,0.31,0.21,0.52,0.31,0.52,0.48,0.21,0.69,0.48,0.69,Matches
Cody Gakpo,nlNED,FW,Liverpool,25-332,1999,27,16,"1,416",15.7,8,3,11,8,0,0,4,0,6.0,6.0,3.5,9.4,38,44,212,0.51,0.19,0.70,0.51,0.70,0.38,0.22,0.60,0.38,0.60,Matches
Cole Palmer,engENG,MF,Chelsea,22-333,2002,29,29,"2,530",28.1,14,7,21,11,3,4,5,0,15.3,12.1,9.1,21.2,89,162,145,0.50,0.25,0.75,0.39,0.64,0.54,0.32,0.87,0.43,0.75,Matches
Conor Bradley,nirNIR,DF,Liverpool,21-269,2003,12,2,372,4.1,0,0,0,0,0,0,2,0,0.5,0.5,0.0,0.5,17,17,18,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12,Matches
Conor Chaplin,engENG,"MF,FW",Ipswich Town,28-047,1997,15,7,614,6.8,1,1,2,1,0,0,1,0,1.2,1.2,0.6,1.8,10,25,20,0.15,0.15,0.29,0.15,0.29,0.17,0.09,0.26,0.17,0.26,Matches
Conor Coady,engENG,DF,Leicester City,32-038,1993,14,11,994,11.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,24,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Conor Townsend,engENG,DF,Ipswich Town,32-031,1993,4,2,226,2.5,0,1,1,0,0,0,1,0,0.0,0.0,0.7,0.7,2,4,8,0.00,0.40,0.40,0.00,0.40,0.00,0.26,0.26,0.00,0.26,Matches
Craig Dawson,engENG,DF,Wolves,34-333,1990,15,10,971,10.8,0,0,0,0,0,0,2,0,0.5,0.5,0.0,0.5,6,20,5,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches
Cristian Romero,arARG,DF,Tottenham,26-342,1998,15,15,"1,191",13.2,1,0,1,1,0,0,2,0,1.1,1.1,0.5,1.7,11,57,2,0.08,0.00,0.08,0.08,0.08,0.09,0.04,0.13,0.09,0.13,Matches
Crysencio Summerville,nlNED,"FW,MF",West Ham,23-156,2001,19,7,786,8.7,1,1,2,1,0,0,2,0,1.6,1.6,1.7,3.3,29,18,71,0.11,0.11,0.23,0.11,0.23,0.19,0.19,0.38,0.19,0.38,Matches
Curtis Jones,engENG,"MF,FW",Liverpool,24-064,2001,25,14,"1,257",14.0,3,3,6,3,0,0,3,1,4.0,4.0,0.9,4.9,16,71,59,0.21,0.21,0.43,0.21,0.43,0.29,0.07,0.35,0.29,0.35,Matches
Daichi Kamada,jpJPN,MF,Crystal Palace,28-242,1996,25,10,"1,018",11.3,0,0,0,0,0,0,2,1,0.8,0.8,1.1,1.9,18,61,42,0.00,0.00,0.00,0.00,0.00,0.07,0.10,0.17,0.07,0.17,Matches
Dan Burn,engENG,DF,Newcastle Utd,32-330,1992,28,28,"2,520",28.0,0,0,0,0,0,0,8,0,1.1,1.1,0.5,1.5,6,44,6,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06,Matches
Dango Ouattara,bfBFA,FW,Bournemouth,23-052,2002,27,16,"1,608",17.9,7,4,11,7,0,0,1,0,7.7,7.7,4.6,12.3,62,35,161,0.39,0.22,0.62,0.39,0.62,0.43,0.26,0.69,0.43,0.69,Matches
Daniel Muñoz,coCOL,DF,Crystal Palace,28-313,1996,28,28,"2,418",26.9,3,4,7,3,0,0,7,0,4.1,4.1,3.8,7.9,38,67,164,0.11,0.15,0.26,0.11,0.26,0.15,0.14,0.29,0.15,0.29,Matches
Danilo,brBRA,"MF,FW",Nott'ham Forest,23-340,2001,6,4,210,2.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,10,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Danny Ings,engENG,"FW,MF",West Ham,32-255,1992,15,1,284,3.2,1,2,3,1,0,0,0,0,2.3,2.3,1.3,3.5,6,5,29,0.32,0.63,0.95,0.32,0.95,0.72,0.41,1.12,0.72,1.12,Matches
Danny Ward,wlsWAL,GK,Leicester City,31-286,1993,2,1,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Danny Welbeck,engENG,FW,Brighton,34-129,1990,23,17,"1,506",16.7,7,4,11,7,0,0,3,0,6.7,6.7,1.0,7.7,17,35,60,0.42,0.24,0.66,0.42,0.66,0.40,0.06,0.46,0.40,0.46,Matches
Dara O'Shea,ieIRL,DF,Ipswich Town,26-031,1999,27,27,"2,402",26.7,0,1,1,0,0,0,6,0,0.8,0.8,0.1,0.9,3,62,3,0.00,0.04,0.04,0.00,0.04,0.03,0.00,0.03,0.03,0.03,Matches
Darwin Núñez,uyURU,FW,Liverpool,25-284,1999,24,8,986,11.0,5,2,7,5,0,0,8,0,5.0,5.0,1.2,6.2,20,22,67,0.46,0.18,0.64,0.46,0.64,0.45,0.11,0.57,0.45,0.57,Matches
