Player,Standard_Nation,Standard_Pos,Standard_Squad,Standard_Age,Standard_MP,Standard_Starts,Standard_Min,Standard_Gls,Standard_Ast,Standard_CrdY,Standard_CrdR,Standard_xG,Standard_xAG,Standard_PrgC,Standard_PrgP,Standard_PrgR,Standard_Gls/90,Standard_Ast/90,Standard_xG/90,Standard_xAG/90,Goalkeeping_GA90,Goalkeeping_Save%,Goalkeeping_CS%,Goalkeeping_Penalty_Save%,Shooting_SoT%,Shooting_SoT/90,Shooting_G/Sh,Shooting_Dist,Passing_Cmp,Passing_Total_Cmp%,Passing_TotDist,Passing_Short_Cmp%,Passing_Medium_Cmp%,Passing_Long_Cmp%,Passing_KP
Neto,brBRA,GK,Bournemouth,35-259,1989,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Nick Pope,engENG,GK,Newcastle Utd,32-350,1992,19,19,"1,710",19.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Niclas Füllkrug,deGER,FW,West Ham,32-054,1993,10,3,415,4.6,2,1,3,2,0,0,2,0,1.6,1.6,1.4,2.9,3,5,12,0.43,0.22,0.65,0.43,0.65,0.34,0.30,0.63,0.34,0.63,Matches
Nico O’Reilly,engENG,"DF,MF",Manchester City,20-014,2005,3,1,113,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.2,7,4,4,0.00,0.00,0.00,0.00,0.00,0.11,0.01,0.12,0.11,0.12,Matches
Nicolas Jackson,snSEN,FW,Chelsea,23-288,2001,24,23,"1,817",20.2,9,5,14,9,0,0,6,0,11.5,11.5,4.0,15.5,41,29,96,0.45,0.25,0.69,0.45,0.69,0.57,0.20,0.77,0.57,0.77,Matches
Nicolás Domínguez,arARG,"MF,FW",Nott'ham Forest,26-280,1998,26,16,"1,420",15.8,0,0,0,0,0,0,8,0,1.3,1.3,1.1,2.4,11,54,20,0.00,0.00,0.00,0.00,0.00,0.08,0.07,0.15,0.08,0.15,Matches
Nicolás González,esESP,MF,Manchester City,23-091,2002,6,6,480,5.3,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,5,33,8,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.06,0.04,0.06,Matches
Nikola Milenković,rsSRB,DF,Nott'ham Forest,27-174,1997,29,29,"2,610",29.0,4,2,6,4,0,0,4,0,3.6,3.6,0.8,4.4,3,42,5,0.14,0.07,0.21,0.14,0.21,0.12,0.03,0.15,0.12,0.15,Matches
Noni Madueke,engENG,FW,Chelsea,23-025,2002,24,19,"1,476",16.4,7,3,10,7,0,0,3,0,7.6,7.6,3.6,11.2,111,55,180,0.43,0.18,0.61,0.43,0.61,0.46,0.22,0.68,0.46,0.68,Matches
Noussair Mazraoui,maMAR,DF,Manchester Utd,27-141,1997,30,27,"2,308",25.6,0,1,1,0,0,0,2,0,0.6,0.6,1.3,1.9,34,96,44,0.00,0.04,0.04,0.00,0.04,0.02,0.05,0.07,0.02,0.07,Matches
Nélson Semedo,ptPOR,DF,Wolves,31-139,1993,26,25,"2,235",24.8,0,4,4,0,0,0,7,0,0.6,0.6,2.6,3.2,55,57,97,0.00,0.16,0.16,0.00,0.16,0.02,0.10,0.13,0.02,0.13,Matches
Odsonne Édouard,frFRA,"MF,FW",Crystal Palace,27-078,1998,2,1,115,1.3,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,2,4,7,0.00,0.00,0.00,0.00,0.00,0.31,0.04,0.34,0.31,0.34,Matches
