Player,Team,Age,Standard_MP,Standard_Starts,Standard_Min,Standard_Gls,Standard_Ast,Standard_CrdY,Standard_CrdR,Standard_xG,Standard_xAG,Standard_PrgC,Standard_PrgP,Standard_PrgR,Standard_Gls/90,Standard_Ast/90,Standard_xG/90,Standard_xAG/90,Goalkeeping_GA90,Goalkeeping_Save%,Goalkeeping_CS%,Goalkeeping_Penalty_Save%,Shooting_SoT%,Shooting_SoT/90,Shooting_G/Sh,Shooting_Dist,Passing_Cmp,Passing_Total_Cmp%,Passing_TotDist,Passing_Short_Cmp%,Passing_Medium_Cmp%,Passing_Long_Cmp%,Passing_KP,Passing_1/3,Passing_PPA,Passing_CrsPA,Passing_PrgP,GCA_SCA,GCA_SCA90,GCA_GCA,GCA_GCA90,Defense_Tkl,Defense_TklW,Defense_Att,Defense_Lost,Defense_Blocks,Defense_Sh,Defense_Pass,Defense_Int,Possession_Touches,Possession_Def Pen,Possession_Def 3rd,Possession_Mid 3rd,Possession_Att 3rd,Possession_Att Pen,Possession_Att,Possession_Succ%,Possession_Tkld%,Possession_Carries,Possession_PrgDist,Possession_PrgC,Possession_1/3,Possession_CPA,Possession_Mis,Possession_Dis,Possession_Rec,Possession_PrgR,Misc_Fls,Misc_Fld,Misc_Off,Misc_Crs,Misc_Recov,Misc_Won,Misc_Lost,Misc_Won%,Played Time,Estimated Value
Mads Roerslev,,25.84,19,11,1101.0,0,2,2,0,0.2,3.0,17,51,54,0.0,0.16,0.02,0.24,1.395,68.75,25.45,0.0,40.0,0.16,0.0,20.8,422,78.7,6925,88.0,79.9,55.1,14,37,11,4,51,21,1.72,2,0.16,18,8,28,17,12,5,7,4,645,49,234,268,146,20,19,36.8,42.1,352,858,17,13,0,9,6,407,54,6,10,0,31,39,10,14,41.7,1101.0,8400000.0
Malo Gusto,,21.94,28,19,1819.0,0,1,4,0,1.7,1.2,48,118,84,0.0,0.05,0.08,0.06,1.395,68.75,25.45,0.0,18.2,0.2,0.0,21.3,1168,86.4,19089,93.1,88.2,61.3,20,107,18,6,118,56,2.77,4,0.2,43,28,47,23,29,8,21,23,1553,57,375,752,438,42,15,26.7,66.7,861,2170,48,35,8,16,17,1047,84,20,18,2,51,114,8,15,34.8,1819.0,36100000.0
Manuel Akanji,,29.78,22,20,1711.0,0,0,3,0,0.7,0.4,38,135,6,0.0,0.0,0.04,0.02,1.395,68.75,25.45,0.0,10.0,0.05,0.0,16.3,1395,93.9,22867,95.9,95.5,73.9,9,150,11,2,135,34,1.79,2,0.11,15,10,12,5,11,8,3,7,1598,108,472,776,352,11,2,100.0,0.0,1044,3286,38,52,0,4,5,1264,6,16,9,0,11,86,24,29,45.3,1711.0,43700000.0
Manuel Ugarte Ribeiro,,24.05,26,20,1616.0,1,1,9,0,1.0,1.1,12,55,19,0.06,0.06,0.05,0.06,1.395,68.75,25.45,0.0,16.7,0.17,0.06,22.0,715,87.5,11713,89.2,93.3,74.0,9,52,9,3,55,30,1.67,3,0.17,70,43,60,35,27,3,24,25,1047,40,300,575,190,15,31,54.8,32.3,599,1155,12,12,1,29,24,650,19,35,31,0,7,111,17,18,48.6,1616.0,60300000.0
Marc Cucurella,,26.77,32,29,2628.0,4,1,10,1,2.6,1.9,30,104,108,0.14,0.03,0.09,0.06,1.395,68.75,25.45,0.0,40.9,0.31,0.18,16.5,1529,88.0,24117,93.9,90.0,57.4,18,108,12,3,104,46,1.58,5,0.17,58,38,50,25,40,13,27,23,2014,100,603,933,486,72,13,30.8,53.8,864,2105,30,17,2,26,6,1259,108,33,32,3,29,110,29,51,36.3,2628.0,39600000.0
Marc Guéhi,,24.79,32,32,2879.0,3,2,9,1,1.9,1.2,22,126,8,0.09,0.06,0.06,0.04,1.395,68.75,25.45,0.0,50.0,0.22,0.21,10.3,1377,83.3,26335,91.1,88.8,55.3,12,127,11,3,126,38,1.19,5,0.16,56,31,45,15,53,22,31,25,1994,292,987,881,137,31,14,78.6,14.3,1065,2804,22,17,1,16,16,1243,8,22,26,1,13,135,66,50,56.9,2879.0,48900000.0
Marcos Senesi,,27.97,15,12,1014.0,0,0,5,0,0.8,0.2,12,51,5,0.0,0.0,0.07,0.02,1.395,68.75,25.45,0.0,0.0,0.0,0.0,6.0,493,76.6,10211,88.0,85.9,49.7,3,73,12,3,51,16,1.42,1,0.09,35,21,30,16,15,7,8,11,783,67,349,376,67,12,9,55.6,44.4,483,1465,12,14,0,6,5,493,5,19,7,0,10,67,23,27,46.0,1014.0,20300000.0
Marcus Rashford,,27.49,15,12,978.0,4,1,2,0,1.7,2.1,20,21,79,0.37,0.09,0.16,0.19,1.395,68.75,25.45,0.0,56.3,0.83,0.25,16.4,253,73.8,3508,83.6,65.9,50.0,15,13,16,8,21,29,2.67,1,0.09,7,4,9,6,8,0,8,4,440,3,35,189,222,34,39,23.1,66.7,293,728,20,19,12,14,6,341,79,8,7,7,27,24,5,7,41.7,978.0,58600000.0
Marcus Rashford,,27.49,10,4,444.0,2,2,0,0,3.1,2.3,22,13,42,0.41,0.41,0.62,0.46,1.395,68.75,25.45,0.0,27.8,1.01,0.06,19.4,117,71.3,1772,87.0,76.6,36.0,13,2,9,2,13,27,5.49,3,0.61,10,7,6,2,2,0,2,1,227,2,14,58,159,30,22,40.9,59.1,127,471,22,10,15,8,1,149,42,1,3,1,28,14,1,8,11.1,978.0,58600000.0
Marcus Tavernier,,26.1,25,16,1580.0,3,5,5,0,5.2,2.8,39,99,103,0.17,0.28,0.3,0.16,1.395,68.75,25.45,0.0,31.3,0.85,0.06,20.5,530,72.4,8961,85.9,78.2,43.6,36,61,29,9,99,82,4.67,10,0.57,39,23,25,16,15,3,12,4,956,18,108,358,511,49,52,42.3,51.9,540,1569,39,37,7,36,43,612,103,25,20,4,89,96,24,31,43.6,1580.0,24400000.0
